tech,type,n,chunksize,unique_vals,ncolumns,time,gctime,memory,allocs
dask,reduce_var_all,1000000,10000000,10000,4,1.5977720000000018e8,0.0,0,0
dask,reduce_var_all,10000000,10000000,10000,4,1.2910008e9,0.0,0,0
dask,reduce_var_all,100000000,10000000,10000,4,4.7718055e9,0.0,0,0
dask,reduce_var_all,500000000,10000000,10000,4,2.48124553e10,0.0,0,0
dask,reduce_var_all,1000000000,10000000,10000,4,8.2971136e10,0.0,0,0
dataframesjl,reduce_var_all,1000000,10000000,10000,4,8.342e6,0.0,13728,277
dataframesjl,reduce_var_all,10000000,10000000,10000,4,8.26143e7,0.0,13728,277
dataframesjl,reduce_var_all,100000000,10000000,10000,4,8.396409e8,0.0,13728,277
dataframesjl,reduce_var_all,500000000,10000000,10000,4,4.1324901e9,0.0,13728,277
dataframesjl,reduce_var_all,1000000000,10000000,10000,4,9.7691605e9,0.0,13728,277
dtable,reduce_var_all,1000000,10000000,10000,4,1.09434e7,0.0,1104512,21356
dtable,reduce_var_all,10000000,10000000,10000,4,8.55321e7,0.0,1103088,21416
dtable,reduce_var_all,100000000,10000000,10000,4,1.798128e8,0.0,2242353,44521
dtable,reduce_var_all,500000000,10000000,10000,4,7.890436e8,0.0,7582658,143285
dtable,reduce_var_all,1000000000,10000000,10000,4,1.5776619e9,0.0,17254784,277097
